species_common_name,species_code,scientific_name
Common Iora,comior1,Aegithina tiphia
Common Jery,comjer1,Neomixis tenella
Common Kingfisher,ALCATT,Alcedo atthis
Common Linnet,eurlin1,Linaria cannabina
Common Loon,COLO,Gavia immer
Common Merganser,COME,Mergus merganser
Common Miner,GEOCUN,Geositta cunicularia
Common Minke Whale,BALACU,Balaenoptera acutorostrata
Common Moorhen,COMO,Gallinula chloropus
Common mountain chinchilla,LAGVIS,Lagidium viscacia
Common Murre,COMU,Uria aalge
Common Myna,COMY,Acridotheres tristis
Common Newtonia,comnew1,Newtonia brunneicauda
Common Nighthawk,CONI,Chordeiles minor
Common Nightingale,LUSMEG,Luscinia megarhynchos
Common Opossum,DIDMAR,Didelphis marsupialis
Common Paradise Kingfisher,copkin1,Tanysiptera galatea
Common Pauraque,COPA,Nyctidromus albicollis
Common Pochard,COMP,Aythya ferina
Common Poorwill,COPO,Phalaenoptilus nuttallii
Common Potoo,CPOT,Nyctibius griseus
Common Quail,COQU,Coturnix coturnix
Common Raccoon,PROLOT,Procyon lotor
Common Raven,CORA,Corvus corax
Common Redshank,CREH,Tringa totanus
Common Redstart,CRET,Phoenicurus phoenicurus
Common rice rat,OLILON,Oligoryzomys longicaudatus
Common Ringed Plover,CRPL,Charadrius hiaticula
Common Rosefinch,CORO,Carpodacus erythrinus
common sagebrush lizard,4511,Sceloporus graciosus
Common Sandpiper,COSA,Actitis hypoleucos
Common Scale-backed Antbird,scbant3,Willisornis poecilinotus
Common Scimitarbill,cosbil1,Rhinopomastus cyanomelas
Common Scoter,COSC,Melanitta nigra
common sharp-tailed snake,CONTEN,Contia tenuis
Common Shelduck,COMS,Tadorna tadorna
Common Shrew,SORARA,Sorex araneus
Common side-blotched lizard,4538,Uta stansburiana
Common Snipe,COSN,Gallinago gallinago
Common Swift,COSW,Apus apus
Common Tailorbird,comtai1,Orthotomus sutorius
Common Tern,COTE,Sterna hirundo
Common Tody-Flycatcher,COTF,Todirostrum cinereum
Common Tortoise,TESGRA,Testudo graeca
Common true Katydid,PTECAM,Pterophylla camellifolia
Common Virtuoso Katydid,AMBLON,Amblycorypha longinicta
Common Vole,MICARV,Microtus arvalis
Common Water Monitor,VARSAL,Varanus salvator
Common Watersnake,NERSIP,Nerodia sipedon
Common Waxbill,COMW,Estrilda astrild
Common Whitethroat,CURCOM,Curruca communis
Common Wildebeest,CONTAU,Connochaetes taurinus
Common Wood-Pigeon,COWP,Columba palumbus
Common Woodshrike,comwoo1,Tephrodornis pondicerianus
Common Woolly Monkey,LLAG,Lagothrix lagothricha
Common Yellowthroat,COYE,Geothlypis trichas
Compact Weaver,PACSUP,Pachyphantes superciliosus
Condylura Species,3765,
Conepatus Species,3668,
Confused Ground Cricket,EUNCON,Eunemobius confusus
Congo Pied Hornbill,afphor3,Lophoceros fasciatus
Congo Serpent-Eagle,DRYSPE,Dryotriorchis spectabilis
Connecticut Warbler,CONW,Oporornis agilis
Connochaetes Species,4104,
Contia Species,4428,
Cook's Petrel,COPE,Pterodroma cookii
Cooper's Hawk,COHA,Accipiter cooperii
Coopmans's Elaenia,cooela1,Elaenia brachyptera
Cope's Gray Treefrog,CGTR,Hyla chrysoscelis
Copper-rumped Hummingbird,SAUTOB,Saucerottia tobaci
Copper Seedeater,capsee1,Sporophila bouvreuil
Coppersmith Barbet,copbar1,Psilopogon haemacephalus
Copper Sunbird,copsun2,Cinnyris cupreus
Copper-throated Sunbird,cotsun2,Leptocoma calcostetha
Coppery-chested Jacamar,cocjac2,Galbula pastazae
Coppery-headed Emerald,CHEM,Elvira cupreiceps
Coquerel's Coua,coqcou1,Coua coquereli
Coral-bellied Ring-necked Snake,4437,Diadophis punctatus pulchellus
Coral-billed Ground Cuckoo,cbgcuc1,Carpococcyx renauldi
Coraya Wren,corwre1,Pheugopedius coraya
Cordilleran Canastero,ASTMOD,Asthenes modesta
Cordilleran Flycatcher,COFL,Empidonax occidentalis
Corn Bunting,corbun1,Emberiza calandra
Corn Crake,CORC,Crex crex
Coronados Deer Mouse,PERPSE,Peromyscus pseudocrinitus
Correndera Pipit,ANTCOR,Anthus correndera
Corsac Fox,VULCOR,Vulpes corsac
Corsican Finch,CARCOR,Carduelis corsicana
Corsican Hare,3925,Lepus corsicanus
Corsican Nuthatch,SITWHI,Sitta whiteheadi
Coruro,SPACYA,Spalacopus cyanus
Cory's Shearwater,COSH,Calonectris borealis
Coscoroba Swan,COSCOS,Coscoroba coscoroba
Costa Rican Brushfinch,CRBR,Arremon costaricensis
Costa Rican Pygmy-Owl,CRPO,Glaucidium costaricanum
Costa Rican Swift,CRSW,Chaetura fumosa
Costa Rican Warbler,CRWA,Basileuterus melanotis
Costa's Hummingbird,COHU,Calypte costae
Cotton Deermouse,PERGOS,Peromyscus gossypinus
Cottonmouth,AGKPIS,Agkistrodon piscivorus
Cotton Pygmy-Goose,NETCOR,Nettapus coromandelianus
Cottontails,26,
Couch's Kingbird,COKI,Tyrannus couchii
Couch's Spadefoot,SCACOU,Scaphiopus couchii
Coues's Climbing Mouse,RHICOU,Rhipidomys couesi
Cougar,PUMCON,Puma concolor
Coyote,COYO,Canis latrans
Cozumel Emerald,COEM,Chlorostilbon forficatus
Cozumel Harvest Mouse,REISPE,Reithrodontomys spectabilis
Cozumel Thrasher,COZT,Toxostoma guttatum
Cozumel Vireo,COVI,Vireo bairdi
Cozumel Wren,COWR,Troglodytes beani
Crab-eating Fox,CERTHO,Cerdocyon thous
Crab-eating Raccoon,3728,Procyon cancrivorus
Crab-Eating Raccoon,PCAN,Procyon cancrivorus
Crab-plover,craplo1,Dromas ardeola
Crag Chilia,crachi1,Ochetorhynchus melanurus
Crane Hawk,CRHA,Geranospiza caerulescens
"Cranes, Rails, Coots",79,
Cratogeomys Species,3090,Cratogeomys 
Craveri's Murrelet,CRMU,Synthliboramphus craveri
Cream-backed Woodpecker,crbwoo2,Campephilus leucopogon
Cream-colored Courser,CURCUR,Cursorius cursor
Cream-colored Woodpecker,crcwoo2,Celeus flavus
Cream-throated White-eye,crtwhe1,Zosterops atriceps
Cream-vented Bulbul,crvbul1,Pycnonotus simplex
Cream-winged Cinclodes,crwcin1,Cinclodes albiventris
Creamy-bellied Antwren,crbant1,Herpsilochmus motacilloides
Creamy-bellied Gnatcatcher,crbgna1,Polioptila lactea
Creamy-bellied Thrush,crbthr1,Turdus amaurochalinus
Creamy-crested Spinetail,crcspi1,Cranioleuca albicapilla
Creeping Vole,MICORE,Microtus oregoni
Creighton's Slender Opossum,MARCRE,Marmosops creightoni
Crescent-chested Babbler,crcbab1,Cyanoderma melanothorax
Crescent-chested Puffbird,crcpuf1,Malacoptila striata
Crescent-chested Warbler,CCWA,Oreothlypis superciliosa
Crescent-faced Antpitta,crfant1,Grallaricula lineifrons
Crescent Honeyeater,crehon2,Phylidonyris pyrrhopterus
Crested Ant Tanager,cratan1,Driophlox cristata
Crested Auklet,CRAU,Aethia cristatella
Crested Barbet,crebar1,Trachyphonus vaillantii
Crested Becard,crebec1,Pachyramphus validus
Crested Bellbird,crebel1,Oreoica gutturalis
Crested Bobwhite,CRBO,Colinus cristatus
Crested Bunting,crebun1,Emberiza lathami
Crested Caracara,CRCA,Caracara plancus
Crested Coua,crecou1,Coua cristata
Crested Doradito,credor1,Pseudocolopteryx sclateri
Crested Drongo,credro1,Dicrurus forficatus
Crested Duck,LOPSPE,Lophonetta specularioides
Crested Eagle,CREA,Morphnus guianensis
Crested Finchbill,crefin1,Spizixos canifrons
Crested Francolin,ORTSEP,Ortygornis sephaena
Crested Gallito,cregal1,Rhinocrypta lanceolata
Crested Goshawk,cregos1,Lophospiza trivirgata
Crested Guan,CRGU,Penelope purpurascens
Crested Honey Buzzard,orihob2,Pernis ptilorhynchus
Crested Hornero,crehor1,Furnarius cristatus
Crested Jayshrike,crejay1,Platylophus galericulatus
Crested Kingfisher,crekin1,Megaceryle lugubris
Crested Lark,GALCRI,Galerida cristata
Crested Myna,cremyn,Acridotheres cristatellus
Crested Oropendola,CROR,Psarocolius decumanus
Crested Owl,CROW,Lophostrix cristata
Crested Partridge,crepar1,Rollulus rouloul
Crested Pigeon,crepig1,Ocyphaps lophotes
Crested Quail-Dove,CRQD,Geotrygon versicolor
Crested Quetzal,creque1,Pharomachrus antisianus
Crested Serpent Eagle,crseag1,Spilornis cheela
Crested Spinetail,crespi1,Cranioleuca subcristata
Crested-tailed Deer Mouse,HABLOP,Habromys lophurus
Crested Tit,cretit2,Lophophanes cristatus
Crested Treeswift,cretre1,Hemiprocne coronata
Crestless Curassow,crecur2,Mitu tomentosum
Cretzschmar's Bunting,EMBCAE,Emberiza caesia
Cricetidae Family,4835,
Cricket Warbler,crilon1,Spiloptila clamans
Crimson-backed Sunbird,crbsun2,Leptocoma minima
Crimson-backed Tanager,CBTA,Ramphocelus dimidiatus
Crimson-bellied Parakeet,crbpar1,Pyrrhura perlata
Crimson-bellied Woodpecker,CBWO,Campephilus haematogaster
Crimson-breasted Finch,crbfin1,Rhodospingus cruentus
Crimson-breasted Shrike,crbgon1,Laniarius atrococcineus
Crimson Chat,EPTTRI,Epthianura tricolor
Crimson-collared Grosbeak,CCGR,Rhodothraupis celaeno
Crimson-collared Tanager,CCTA,Ramphocelus sanguinolentus
Crimson-crested Woodpecker,CCRW,Campephilus melanoleucos
Crimson-crowned Fruit-Dove,PTIPOR,Ptilinopus porphyraceus
Crimson Finch,NEOPHA,Neochmia phaeton
Crimson-fronted Barbet,PSIRUB,Psilopogon rubricapillus
Crimson-fronted Parakeet,CFPA,Psittacara finschi
Crimson-headed Partridge,crhpar1,Haematortyx sanguiniceps
Crimson-hooded Manakin,crhman1,Pipra aureola
Crimson-mantled Woodpecker,crmwoo2,Colaptes rivolii
Crimson-naped Woodpecker,crbwoo6,Dryobates cathpharius
Crimson Rosella,criros2,Platycercus elegans
Crimson-rumped Toucanet,crrtou1,Aulacorhynchus haematopygus
Crimson Sunbird,eacsun1,Aethopyga siparaja
Crimson Topaz,critop1,Topaza pella
Crimson-winged Woodpecker,crwwoo1,Picus puniceus
Crissal Thrasher,CRTH,Toxostoma crissale
Croaking Cisticola,crocis1,Cisticola natalensis
Croaking Ground Dove,crgdov1,Columbina cruziana
Crocodile,CRONIL,Crocodylus niloticus
Crossley's Vanga,crobab1,Mystacornis crossleyi
Crotalus Species,CRONUL,
Crow,CORBRA,Corvus brachyrhynchos
Crow-billed Drongo,DICANN,Dicrurus annectens
Crowned Chat-Tyrant,crocht2,Silvicultrix frontalis
Crowned Eagle,crheag1,Stephanoaetus coronatus
Crowned Hornbill,crohor1,Lophoceros alboterminatus
Crowned Lapwing,crolap1,Vanellus coronatus
Crowned Shrew,SORCOR,Sorex coronatus
Crowned Slaty Flycatcher,CSFL,Empidonomus aurantioatrocristatus
Crowned Woodnymph,CRWO,Thalurania colombica
"Crows, Jays, and Allies",66,
Crunch Sound,CRCH,
Cryptic Antthrush,sucant1,Chamaeza meruloides
Cryptic Forest Falcon,cryfof1,Micrastur mintoni
Cryptic Warbler,CRYRAN,Cryptosylvicola randrianasoloi
Cryptonanus Species,3001,
Cryptotis Species,3799,
Cuban Blackbird,CUBL,Ptiloxena atroviolacea
Cuban Black Hawk,CUBH,Buteogallus gundlachii
Cuban Bullfinch,CUBU,Melopyrrha nigra
Cuban Coney,GEOCOL,Geocapromys columbianus
Cuban Crow,CUCR,Corvus nasicus
Cuban Emerald,CUEM,Chlorostilbon ricordii
Cuban Gnatcatcher,CUGN,Polioptila lembeyei
Cuban Grassquit,CUGR,Tiaris canorus
Cuban Green Woodpecker,CGWO,Xiphidiopicus percussus
Cuban Ground Cricket,NEOCUB,Neonemobius cubensis
Cuban Macaw,CUBM,Ara tricolor
Cuban Martin,CUMA,Progne cryptoleuca
Cuban Oriole,CUOR,Icterus melanopsis
Cuban Parakeet,CPAK,Psittacara euops
Cuban Parrot,CPAT,Amazona leucocephala
Cuban Pewee,CUPE,Contopus caribaeus
Cuban Pygmy-Owl,CUPO,Glaucidium siju
Cuban Solenodon,ATOCUB,Atopogale cubana
Cuban Solitaire,CUSO,Myadestes elisabeth
Cuban Tody,CUTO,Todus multicolor
Cuban Trogon,CUTR,Priotelus temnurus
Cuban Vireo,CUVI,Vireo gundlachii
Cuckoo-roller,cuckoo1,Leptosomus discolor
Cundinamarca Antpitta,cunant1,Grallaria kaestneri
Cuniculus Species,3093,Cuniculus 
Cunningham's skink,EGECUN,Egernia cunninghami
Cuon Species,CUONUL,
Curl-crested Aracari,PTEBEA,Pteroglossus beauharnaisii
Curl-crested Jay,cucjay1,Cyanocorax cristatellus
Curlew Sandpiper,CUSA,Calidris ferruginea
Curve-billed Reedhaunter,cubree1,Limnornis curvirostris
Curve-billed Scythebill,cubscy1,Campylorhamphus procurvoides
Curve-billed Thrasher,CBTH,Toxostoma curvirostre
Curve-tailed Bush Katydid,SCUCUR,Scudderia curvicauda
Cusco Tegu,TCUZ,Tupinambis cuzcoensis
Cuvier's Beaked Whale,ZIPCAV,Ziphius cavirostris
Cuvier's Gazelle,GAZCUV,Gazella cuvieri
Cuvier's Hutia,PLAAED,Plagiodontia aedium
Cuvier's Spiny Rat,PROCUV,Proechimys cuvieri
Cuzco Warbler,gobwar3,Myiothlypis chrysogaster
Cynomys Species,3099,Cynomys 
Cyprus Scops Owl,eursco3,Otus cyprius
Cyprus Wheatear,OENCYP,Oenanthe cypriaca
Cystophora Species,CYSNUL,
Daghestan Pine Vole,MICDAG,Microtus daghestanicus
Dall Sheep,DASH,Ovis dalli
Dall's Porpoise,PHODAL,Phocoenoides dalli
Dalmatian Pelican,PELCRI,Pelecanus crispus
Dama Gazelle,NANDAM,Nanger dama
Damaliscus Species,4112,
Damara Variable Skink,TRADAM,Trachylepis damarana
Dama Species,4106,
Darien Harvest Mouse,REIDAR,Reithrodontomys darienensis
Darien Small Eared Shrew,3779,Cryptotis merus
Darjeeling Woodpecker,darwoo1,Dendrocopos darjellensis
Dark Armored Tree-rat,MAKOBS,Makalata obscura
Dark-backed Imperial Pigeon,dbipig1,Ducula lacernulata
Dark-backed Sibia,blbsib1,Heterophasia melanoleuca
Dark-backed Weaver,forwea1,Ploceus bicolor
Dark-backed Wood Quail,dbwqua1,Odontophorus melanonotus
Dark-bellied Cinclodes,CINPAT,Cinclodes patagonicus
Dark-billed Cuckoo,DBCU,Coccyzus melacoryphus
Dark-breasted Rosefinch,dabros1,Procarduelis nipalensis
Dark-breasted Spinetail,dabspi1,Synallaxis albigularis
Dark-eyed Junco,DEJU,Junco hyemalis
Dark-faced Ground-Tyrant,MUSMAC,Muscisaxicola maclovianus
Dark Four-eyed Opossum,PHIMEL,Philander melanurus
Dark-fronted Babbler,DUMATR,Dumetia atriceps
Dark Hawk-Cuckoo,larhac1,Hierococcyx bocki
Dark Kangaroo Mouse,MICMEG,Microdipodops megacephalus
Dark-necked Tailorbird,dantai1,Orthotomus atrogularis
Dark Newtonia,darnew1,Newtonia amphichroa
Dark Pewee,DAPE,Contopus lugubris
Dark-sided Flycatcher,DSFL,Muscicapa sibirica
Dark-throated Oriole,datori1,Oriolus xanthonotus
Dark-throated Seedeater,datsee1,Sporophila ruficollis
Dark-winged Trumpeter,dawtru1,Psophia viridis
D'Arnaud's Barbet,darbar1,Trachyphonus darnaudii
Dartford Warbler,CURUND,Curruca undata
Darwin's Nothura,darnot1,Nothura darwinii
Dasyprocta Species,3112,Dasyprocta 
Dasypus Species,DASNUL,
Daurian Jackdaw,daujac1,Coloeus dauuricus
Daurian Redstart,daured1,Phoenicurus auroreus
Daurian Starling,AGRSTU,Agropsar sturninus
Davison's Leaf Warbler,davlew1,Phylloscopus intensior
Davis's Tree Cricket,OECEXC,Oecanthus exclamationis
Dead Sea Sparrow,desspa1,Passer moabiticus
Deer,DEER,
Deer Mouse,PERKEE,Peromyscus keeni
Degu,OCTDEG,Octodon degus
Delicate Deer Mouse,HABDEL,Habromys delicatulus
Delicate Prinia,PRILEP,Prinia lepida
Delicate Slender Mouse Opossum,2947,Marmosops parvidens
Delphinapterus Species,4114,
Delphinidae Family,4267,
Delphinus Species,4117,
Deltaic Four-eyed Opossum ,PHIDEL,Philander deltae
Demoiselle Crane,DECR,Anthropoides virgo
Deppe's Squirrel,SCIDEP,Sciurus deppei
Desert Blonde Tarantula,APHCHA,Aphonopelma chalcodes
Desert Cisticola,descis1,Cisticola aridulus
Desert Cottontail,SYLAUD,Sylvilagus audubonii
Desert Finch,desfin2,Rhodospiza obsoleta
Desert Hare,LEPTIB,Lepus tibetanus
Desert Horned Lizard,PHRPLA,Phrynosoma platyrhinos
Desert Iguana,DIPDOR,Dipsosaurus dorsalis
Desert Kangaroo Rat,DIPDES,Dipodomys deserti
Desert Lark,deslar1,Ammomanes deserti
Desert Monitor,VARGRI,Varanus griseus
Desert Owl,humowl1,Strix hadorami
Desert Pocket Gopher,GEOARE,Geomys arenarius
Desert Pocket Mouse,CHAPEN,Chaetodipus penicillatus
Desert Shrew,NOTCRA,Notiosorex crawfordi
Desert (southern mountain) cavy,MICAUS,Microcavia australis
Desert Sparrow,desspa3,Passer simplex
Desert Spiny Lizard,SCEMAG,Sceloporus magister
Desert Wheatear,deswhe1,Oenanthe deserti
Desert Woodrat,NEOLEP,Neotoma lepida
Desmarest's Hutia,CAPPIL,Capromys pilorides
Desmarest's Spiny Pocket Mouse,HETDES,Heteromys desmarestianus
Dhole,CUOALP,Cuon alpinus
Diablo Range Gartersnake,4522,Thamnophis atratus zaxanthus
Diademed Sandpiper-Plover,diaplo1,Phegornis mitchellii
Diademed Tanager,diatan1,Stephanophorus diadematus
Diademed Tapaculo,diatap1,Scytalopus schulenbergi
Diadophis Species,DIANUL,
Diamantina Tapaculo,diatap2,Scytalopus diamantinensis
Diard's Trogon,diatro1,Harpactes diardii
Dibatag,AMMCLA,Ammodorcas clarkei
Dice's Cottontail,SYLDIC,Sylvilagus dicei
Dickcissel,DICK,Spiza americana
Dickey's Deermouse,PERDIC,Peromyscus dickeyi
Dicrostonyx Species,3122,Dicrostonyx 
Didelphidae Family,4797,
Didelphimorphia Order,4798,
Didelphis Species,DIDNUL,
Diederik Cuckoo,didcuc1,Chrysococcyx caprius
Dik-Dik Species,MADNUL,
Diminutive Woodrat,NELNEO,Nelsonia neotomodon
Dimorphic Fantail,dimfan1,Rhipidura brachyrhyncha
Dinelli's Doradito,dindor2,Pseudocolopteryx dinelliana
Diplomys Species,3125,Diplomys 
Dipodomys Species,3145,Dipodomys 
Doherty's Bushshrike,dohbus1,Telophorus dohertyi
Dolphin Gull,dolgul2,Leucophaeus scoresbii
Domestic Bison,95,Bison bison
Domestic Cat (House Cat),CATT,Felis catus
Domestic Chicken,CHIK,Gallus Gallus
Domestic Cow,COWW,Bos taurus
Domestic Dog,DOGG,Canis lupus familiaris
Domestic Donkey,ASSS,Equus asinus
Domestic Duck,DODU,Anas platyrhynchos domesticus
Domestic Elk (wapiti),CERCAN,Cervus canadensis
Domestic goat,CAPHIR,Capra hircus
Domestic Goat,GOAT,
Domestic Goose,GOOS,Anser domesticus
Domestic Horse,HORS,Equus ferus caballus
"Domestic Llama, Alpaca",LLAM,
Domestic Pig,PIGG,Sus scrofa
Domestic Sheep,SHEP,Ovis aries
Domestic Water Buffalo,BUBARN,Bubalus arnee
Domestic Yak,BOSMUT,Bos mutus
d'Orbigny's Chat-Tyrant,OCHOEN,Ochthoeca oenanthoides
Dorcas Gazelle,GAZDOR,Gazella dorcas
Dorcatragus Species,DORNUL,
Dot-backed Antbird,dobant2,Hylophylax punctulatus
Dot-fronted Woodpecker,dofwoo1,Veniliornis frontalis
Dotted Tanager,IXOVAR,Ixothraupis varia
Dot-winged Antwren,DWAN,Microrhopias quixensis
Dot-winged Crake,dowcra1,Laterallus spiloptera
Double-banded Graytail,DBGR,Xenerpestes minlosi
Double-banded Plover,dobplo1,Anarhynchus bicinctus
Double-banded Pygmy Tyrant,dbptyr1,Lophotriccus vitiosus
Double-barred Finch,STIBIC,Stizoptera bichenovii
Double-collared Seedeater,docsee1,Sporophila caerulescens
Double-crested Cormorant,DCCO,Nannopterum auritum
Double-spurred Spurfowl,dosfra2,Pternistis bicalcaratus
Double-striped Thick-knee,DSTK,Hesperoburhinus bistriatus
Double-toothed Barbet,LYBBID,Lybius bidentatus
Double-toothed Kite,DTKI,Harpagus bidentatus
Douglas's Squirrel,TAMDOU,Tamiasciurus douglasii
Dovekie,DOVE,Alle alle
Downy Woodpecker,DOWO,Dryobates pubescens
Drab-breasted Bamboo Tyrant,drbpyt1,Hemitriccus diops
Drab Seedeater,drasee1,Sporophila simplex
Drab Water Tyrant,drwtyr1,Ochthornis littoralis
Drab Whistler,drawhi1,Pachycephala griseonota
Drakensberg Prinia,PRIHYP,Prinia hypoxantha
Dromedary Camel,CAMDRO,Camelus dromedarius
Dryland Mouse Opossum,MARXER,Marmosa xerophila
"Ducks, Swans, Geese",DU/SW/GEES,
Duetting Giant Honeyeater,duegih1,Gymnomyza brunneirostris
Dugand's Antwren,dugant1,Herpsilochmus dugandi
Duida Woodcreeper,linwoo4,Lepidocolaptes duidae
Dull-colored Grassquit,ducgra2,Asemospiza obscura
Dull-mantled Antbird,DMAN,Myrmeciza laemosticta
Dulzura Kangaroo Rat,DIPSIM,Dipodomys simulans
Dunlin,DUNL,Calidris alpina
Dunlin (alpina),4588,Calidris alpina alpina
Dunlin (schinzii),4587,Calidris alpina schinzii
Dunnock,PRUMOD,Prunella modularis
Dupont's Lark,CHEDUP,Chersophilus duponti
Durango Chipmunk,NEODUR,Neotamias durangae
Dusky Antbird,DUAN,Cercomacroides tyrannina
Dusky-backed Jacamar,DBJA,Brachygalba salmoni
Dusky-billed Parrotlet,dubpar1,Forpus modestus
Dusky Broadbill,dusbro1,Corydon sumatranus
Dusky-brown Oriole,halori1,Oriolus phaeochromus
Dusky-capped Flycatcher,DCFL,Myiarchus tuberculifer
Dusky-capped Greenlet,ducgre1,Pachysylvia hypoxantha
Dusky-capped Woodcreeper,LEPFUS,Lepidocolaptes fuscicapillus
Dusky-chested Flycatcher,ducfly2,Myiozetetes luteiventris
Dusky Chlorospingus,dubtan1,Chlorospingus semifuscus
Dusky Crag Martin,duscrm1,Ptyonoprogne concolor
Dusky Dolphin,LAGOBS,Lagenorhynchus obscurus
Dusky Eagle-Owl,BUBCOR,Bubo coromandus
Dusky-faced Tanager,DFTA,Mitrospingus cassinii
Dusky Flycatcher,DUFL,Empidonax oberholseri
Dusky-footed Woodrat,NEOFUS,Neotoma fuscipes
Dusky Fulvetta,dusful1,Schoeniparus brunneus
Dusky-green Oropendola,dugoro1,Psarocolius atrovirens
Dusky Grouse,DUGR,Dendragapus obscurus
Dusky-headed Brushfinch,dhbfin1,Atlapetes fuscoolivaceus
Dusky-headed Parakeet,duhpar,Aratinga weddellii
Dusky Hummingbird,DUHU,Cynanthus sordidus
Dusky Indigobird,varind1,Vidua funerea
Dusky Leaftosser,soalea1,Sclerurus obscurior
Dusky-legged Guan,dulgua1,Penelope obscura
Dusky Long-tailed Cuckoo,dltcuc1,Cercococcyx mechowi
Dusky Megapode,dusscr1,Megapodius freycinet
Dusky Moorhen,dusmoo1,Gallinula tenebrosa
Dusky Myzomela,dusmyz5,Myzomela obscura
Dusky Nightjar,DUNI,Antrostomus saturatus
Dusky Parrot,duspar1,Pionus fuscus
Dusky Pigeon,DUPI,Patagioenas goodsoni
Dusky Piha,duspih1,Lipaugus fuscocinereus
Dusky Poor-will,ANTNUT,Antrostomus saturatus nuttallii
Dusky Robin,dusrob1,Melanodryas vittata
Dusky Seaside-Sparrow,DUSS,Ammospiza maritima nigrescens
Dusky Shrew,SORMON,Sorex monticolus
Dusky Spinetail,dusspi1,Synallaxis moesta
Dusky Sunbird,dussun2,Cinnyris fuscus
Dusky-tailed Antbird,dutant1,Drymophila malura
Dusky-tailed Canastero,dutcan1,Pseudasthenes humicola
Dusky-tailed Flatbill,dutfla1,Ramphotrigon fuscicauda
Dusky Tapaculo,dustap1,Scytalopus fuscus
Dusky-throated Antshrike,dutant2,Thamnomanes ardesiacus
Dusky-throated Hermit,duther1,Phaethornis squalidus
Dusky Thrush,DUTH,Turdus naumanni
Dusky Tit,dustit2,Melaniparus funereus
Dusky Turtle Dove,STRLUG,Streptopelia lugens
Dusky Warbler,DUWA,Phylloscopus fuscatus
Dusky Woodswallow,duswoo1,Artamus cyanopterus
Dwarf Cuckoo,DWCU,Coccyzus pumila
Dwarf Fat-tailed Mouse Opossum,THYVEL,Thylamys velutinus
Dwarf Hutia,MESNAN,Mesocapromys nanus
Dwarf Jay,DWJA,Cyanolyca nana
Dwarf Red Brocket,MAZRUF,Mazama rufina
Dwarf Shrew,SORNAN,Sorex nanus
Dwarf Tyrant-Manakin,dwtman1,Tyranneutes stolzmanni
Dwarf Vireo,DWVI,Vireo nelsoni
Eared Dove,EADO,Zenaida auriculata
Eared Grebe,EAGR,Podiceps nigricollis
Eared Poorwill,EAPO,Nyctiphrynus mcleodii
Eared Pygmy Tyrant,eaptyr1,Myiornis auricularis
Eared Quetzal,EAQU,Euptilotis neoxenus
East Amazonian Fire-eye,eaafie1,Pyriglena leuconota
East Andean Antbird,DRYCAU,Drymophila caudata
East Brazilian Chachalaca,specha2,Ortalis araucuan
East Brazilian Pygmy Owl,leapyo1,Glaucidium minutissimum
East Coast Akalat,SHEGUN,Sheppardia gunningi
East Coast Boubou,zanbou1,Laniarius sublacteus
Eastern American Toad,ANAAME,Anaxyrus americanus americanus
Eastern Barn Owl,EBOW,Tyto javanica
Eastern Bearded Greenbul,easbeg1,Criniger chloronotus
Eastern Black-eared Wheatear,OENMEL,Oenanthe melanoleuca
Eastern Black-lined Plated Lizard,GERINT,Gerrhosaurus intermedius
Eastern Bluebird,EABL,Sialia sialis
Eastern Blue-Tongued Lizard,TILSCI,Tiliqua scincoides
Eastern Bonelli's Warbler,eabwar1,Phylloscopus orientalis
Eastern Bristlebird,easbri1,Dasyornis brachypterus
Eastern Bronze-naped Pigeon,delpig1,Columba delegorguei
Eastern Buzzard,combuz6,Buteo japonicus
Eastern Cattle-Egret,ECEG,Ardea coromanda
Eastern Chat-Tanager,EACT,Calyptophilus frugivorus
Eastern Chipmunk,EACH,Tamias striatus
Eastern Clapper Lark,eaclar1,Corypha fasciolata
Eastern Coachwhip,EASCOA,Masticophis flagellum flagellum
Eastern Cordillera Small-footed Shrew,CRYBRA,Cryptotis brachyonyx
Eastern Cottontail,EACO,Sylvilagus floridanus
Eastern Crested Guineafowl,cregui3,Guttera pucherani
Eastern Crowned Warbler,eacwar1,Phylloscopus coronatus
Eastern Double-collared Sunbird,edcsun3,Cinnyris mediocris
Eastern Golden Weaver,afgwea1,Ploceus subaureus
Eastern Grasshopper Sparrow,AMMSAV,Ammodramus savannarum pratensis
Eastern Gray Squirrel,EGSQ,Sciurus carolinensis
Eastern Harvest Mouse,REIHUM,Reithrodontomys humulis
Eastern Heather Vole,PHEUNG,Phenacomys ungava
Eastern Kingbird,EAKI,Tyrannus tyrannus
Eastern Long-billed Lark,elblar1,Certhilauda semitorquata
Eastern Lowland Olingo,BALL,Bassaricyon alleni
Eastern Marsh Harrier,easmah1,Circus spilonotus
Eastern Meadowlark,EAME,Sturnella magna
Eastern Meadow Vole,MICPENN,Microtus pennsylvanicus
Eastern Mountain Greenbul,ARINIG,Arizelocichla nigriceps
Eastern Narrow-mouthed Toad,GASCAR,Gastrophryne carolinensis
Eastern Newt,NOTVIVI,Notophthalmus viridescens
Eastern Nicator,easnic1,Nicator gularis
Eastern Olivaceous Warbler,eaowar1,Iduna pallida
Eastern Orphean Warbler,CURCRA,Curruca crassirostris
Eastern Palm Warbler,SETPAL,Setophaga palmarum hypochrysea
Eastern Phoebe,EAPH,Sayornis phoebe
